"อำเภอ","ชื่อภาษาอังกฤษ","จังหวัด","Province","จำนวนตำบล"
เกาะลันตา,Ko Lanta,กระบี่,Krabi,5
เขาพนม,Khao Phanom,กระบี่,Krabi,6
คลองท่อม,Khlong Thom,กระบี่,Krabi,7
ปลายพระยา,Plai Phraya,กระบี่,Krabi,4
เมืองกระบี่,Mueang Krabi,กระบี่,Krabi,10
ลำทับ,Lam Thap,กระบี่,Krabi,4
เหนือคลอง,Nuea Khlong,กระบี่,Krabi,8
อ่าวลึก,Ao Luek,กระบี่,Krabi,9
เขตคลองเตย,Khet Khlong Toei,กรุงเทพมหานคร,Bangkok,6
เขตคลองสาน,Khet Khlong San,กรุงเทพมหานคร,Bangkok,4
เขตคลองสามวา,Khet Khlong Sam Wa,กรุงเทพมหานคร,Bangkok,5
เขตคันนายาว,Khet Khan Na Yao,กรุงเทพมหานคร,Bangkok,1
เขตจตุจักร,Khet Chatuchak,กรุงเทพมหานคร,Bangkok,5
เขตจอมทอง,Khet Chom Thong,กรุงเทพมหานคร,Bangkok,4
เขตดอนเมือง,Khet Don Mueang,กรุงเทพมหานคร,Bangkok,1
เขตดินแดง,Khet Din Daeng,กรุงเทพมหานคร,Bangkok,2
เขตดุสิต,Khet Dusit,กรุงเทพมหานคร,Bangkok,5
เขตตลิ่งชัน,Khet Taling Chan,กรุงเทพมหานคร,Bangkok,6
เขตทวีวัฒนา,Khet Thawi Watthana,กรุงเทพมหานคร,Bangkok,2
เขตทุ่งครุ,Khet Thung Khru,กรุงเทพมหานคร,Bangkok,2
เขตธนบุรี,Khet Thon Buri,กรุงเทพมหานคร,Bangkok,7
เขตบางกอกน้อย,Khet Bangkok Noi,กรุงเทพมหานคร,Bangkok,5
เขตบางกอกใหญ่,Khet Bangkok Yai,กรุงเทพมหานคร,Bangkok,2
เขตบางกะปิ,Khet Bang Kapi,กรุงเทพมหานคร,Bangkok,2
เขตบางขุนเทียน,Khet Bang Khun Thian,กรุงเทพมหานคร,Bangkok,2
เขตบางเขน,Khet Bang Khen,กรุงเทพมหานคร,Bangkok,2
เขตบางคอแหลม,Khet Bang Kho Laem,กรุงเทพมหานคร,Bangkok,3
เขตบางแค,Khet Bang Khae,กรุงเทพมหานคร,Bangkok,4
เขตบางซื่อ,Khet Bang Sue,กรุงเทพมหานคร,Bangkok,1
เขตบางนา,Khet Bang Na,กรุงเทพมหานคร,Bangkok,1
เขตบางบอน,Khet Bang Bon,กรุงเทพมหานคร,Bangkok,1
เขตบางพลัด,Khet Bang Phlat,กรุงเทพมหานคร,Bangkok,4
เขตบางรัก,Khet Bang Rak,กรุงเทพมหานคร,Bangkok,5
เขตบึงกุ่ม,Khet Bueng Kum,กรุงเทพมหานคร,Bangkok,3
เขตปทุมวัน,Khet Pathum Wan,กรุงเทพมหานคร,Bangkok,4
เขตประเวศ,Khet Prawet,กรุงเทพมหานคร,Bangkok,4
เขตป้อมปราบศัตรูพ่าย,Khet Pom Prap Sattru Phai,กรุงเทพมหานคร,Bangkok,5
เขตพญาไท,Khet Phaya Thai,กรุงเทพมหานคร,Bangkok,1
เขตพระโขนง,Khet Phra Khanong,กรุงเทพมหานคร,Bangkok,1
เขตพระนคร,Khet Phra Nakhon,กรุงเทพมหานคร,Bangkok,12
เขตภาษีเจริญ,Khet Phasi Charoen,กรุงเทพมหานคร,Bangkok,10
เขตมีนบุรี,Khet Min Buri,กรุงเทพมหานคร,Bangkok,2
เขตยานนาวา,Khet Yan Nawa,กรุงเทพมหานคร,Bangkok,2
เขตราชเทวี,Khet Ratchathewi,กรุงเทพมหานคร,Bangkok,4
เขตราษฎร์บูรณะ,Khet Rat Burana,กรุงเทพมหานคร,Bangkok,2
เขตลาดกระบัง,Khet Lat Krabang,กรุงเทพมหานคร,Bangkok,6
เขตลาดพร้าว,Khet Lat Phrao,กรุงเทพมหานคร,Bangkok,2
เขตวังทองหลาง,Khet Wang Thonglang,กรุงเทพมหานคร,Bangkok,1
เขตวัฒนา,Khet Watthana,กรุงเทพมหานคร,Bangkok,3
เขตสวนหลวง,Khet Suan Luang,กรุงเทพมหานคร,Bangkok,1
เขตสะพานสูง,Khet Saphan Sung,กรุงเทพมหานคร,Bangkok,1
เขตสัมพันธวงศ์,Khet Samphanthawong,กรุงเทพมหานคร,Bangkok,3
เขตสาทร,Khet Sathon,กรุงเทพมหานคร,Bangkok,3
เขตสายไหม,Khet Sai Mai,กรุงเทพมหานคร,Bangkok,3
เขตหนองแขม,Khet Nong Khaem,กรุงเทพมหานคร,Bangkok,2
เขตหนองจอก,Khet Nong Chok,กรุงเทพมหานคร,Bangkok,8
เขตหลักสี่,Khet Lak Si,กรุงเทพมหานคร,Bangkok,2
เขตห้วยขวาง,Khet Huai Khwang,กรุงเทพมหานคร,Bangkok,3
ด่านมะขามเตี้ย,Dan Makham Tia,กาญจนบุรี,Kanchanaburi,4
ทองผาภูมิ,Pha Phum,กาญจนบุรี,Kanchanaburi,7
ท่าม่วง,Tha Muang,กาญจนบุรี,Kanchanaburi,13
ท่ามะกา,Tha Maka,กาญจนบุรี,Kanchanaburi,17
ไทรโยค,Sai Yok,กาญจนบุรี,Kanchanaburi,7
บ่อพลอย,Bo Phloi,กาญจนบุรี,Kanchanaburi,6
พนมทวน,Phanom Thuan,กาญจนบุรี,Kanchanaburi,8
เมืองกาญจนบุรี,Mueang Kanchanaburi,กาญจนบุรี,Kanchanaburi,13
เลาขวัญ,Lao Khwan,กาญจนบุรี,Kanchanaburi,7
ศรีสวัสดิ์,Si Sawat,กาญจนบุรี,Kanchanaburi,6
สังขละบุรี,Sangkhla Buri,กาญจนบุรี,Kanchanaburi,3
หนองปรือ,Nong Prue,กาญจนบุรี,Kanchanaburi,3
ห้วยกระเจา,Huai Krachao,กาญจนบุรี,Kanchanaburi,4
กมลาไสย,Kamalasai,กาฬสินธุ์,Kalasin,8
